Make,Model,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,RiskScore
Piper,PA32-301,1.0,Non-Fatal,0.0,0.0,0.0,6.0,0.0
Piper,PA-24-180,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Aero Commander,681,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,150H,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bellanca,7GCBC,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
De Havilland,BEAVER U-64,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Hiller,UH-12-SOLOY,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Ercoupe,415C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,421C,2.0,Incident,0.0,0.0,0.0,3.0,0.0
Cessna,180,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Ercoupe,415C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,188B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,T210N,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Raven,S55,0.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Stinson,108-1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,35,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-23-250,2.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bensen,BM8,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,C23,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,150G,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Robinson,R-22 HP,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Air Tractor,AT-400,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,31,1.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Cessna,175,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172M,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Stinson,108,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-32-260,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,185F,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,170,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,T207A,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Schweizer,232,0.0,Fatal(1),1.0,1.0,1.0,0.0,17.0
Mooney,M20E,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-28R-201,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Mooney,M20B,1.0,Non-Fatal,0.0,0.0,2.0,1.0,4.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M20E,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Piper,PA-31T,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Aero Commander,112,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,310R,2.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Cessna,172K,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bell,47G-2,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
North American,F-51D,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Beech,C23,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cassutt,MARK II,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-28R-180,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Beech,B23,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Champion,7GCBC,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,150C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA 25-235,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-18-150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,188,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Mitsubishi,MU-2B-25,2.0,Fatal(6),6.0,0.0,0.0,0.0,60.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,F33A,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,P210N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,310P,2.0,Non-Fatal,0.0,0.0,2.0,4.0,4.0
Breezy,RLU-1,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,1.0,2.0,0.0,9.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Long-ez,RUTAN,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Hughes,269C,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Fairchild/swearingen,SA226TC,2.0,Incident,0.0,0.0,0.0,5.0,0.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bell,47G4,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,172RG,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Grumman,AA-5B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,A185F,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-25,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
De Havilland,DHC-II,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-28-180C,1.0,Fatal(1),1.0,0.0,0.0,1.0,10.0
Cessna,180K,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,R172K,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Benson,B8M,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-25,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,402,2.0,Non-Fatal,0.0,1.0,6.0,3.0,17.0
Cessna,182P,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172P,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-34-22OT,2.0,Incident,0.0,0.0,0.0,2.0,0.0
Robinson,R-22,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172F,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Hiller-soloy,UH-12E,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,U206F,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Aerospatiale,SA315B,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-24-260,1.0,Fatal(3),3.0,0.0,0.0,1.0,30.0
Cessna,152,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Beech,H35,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-12,1.0,Non-Fatal,0.0,3.0,0.0,0.0,15.0
Grumman,AA5B,1.0,Fatal(3),3.0,0.0,0.0,1.0,30.0
Cessna,150,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-23-250,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,120,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,18,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Grumman,G-164B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,210L,1.0,Fatal(2),2.0,0.0,0.0,1.0,20.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Robertson,C-U206F,1.0,Fatal(4),4.0,1.0,0.0,0.0,45.0
Beech,C23,1.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Cessna,205A,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Cessna,182,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,200,2.0,Fatal(2),2.0,0.0,0.0,1.0,20.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,G18S,2.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-22-160,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Cessna,182P,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Beechcraft,K35,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Flitecraft,SENIOR AERO,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-24,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,182P,1.0,Non-Fatal,0.0,1.0,1.0,1.0,7.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28R-200,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150M,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Taylorcraft,BC12-D,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,172M,1.0,Non-Fatal,0.0,0.0,2.0,1.0,4.0
Hughes,269C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,C-180J,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,U206A,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-36-375,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
North American,P-51D,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Foster,AIRSPEED,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-38,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
North American,AT-6D,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,U206F,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Hughes,500,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28181,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Navy,N3N-3,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150L,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Thurston,TSC-1A,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,B-19,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Luscombe,8E,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Grumman,G-164,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-30F,2.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,501SP,2.0,Non-Fatal,0.0,0.0,0.0,6.0,0.0
Piper,PA-36,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,182,1.0,Fatal(2),2.0,2.0,0.0,0.0,30.0
Aeronca,7EC,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,C-207,1.0,Incident,0.0,0.0,0.0,5.0,0.0
Cessna,U206 G,1.0,Fatal(4),4.0,1.0,1.0,0.0,47.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M20E,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Piper,PA-28RT-201T,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-34,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,177RG,1.0,Incident,0.0,0.0,0.0,2.0,0.0
Bell,222,2.0,Fatal(1),1.0,0.0,0.0,6.0,10.0
Beech,C33,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,J3,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Stinson,108-2,1.0,Non-Fatal,0.0,1.0,2.0,0.0,9.0
Bellanca,14-13-2,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Maule,M-5-235C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Grumman,AA-5A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,A185,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-151,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Helio,H-295,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-32R-301T,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,152,1.0,Incident,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Incident,0.0,0.0,0.0,3.0,0.0
Cessna,188B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150M,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172M,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-31,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,185,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Grumman,G-164A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Glasflugel,MOSQUITO,0.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,U206,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bellanca,7KCAB,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,421B,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Bellanca,7GCBC,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Beech,58P,2.0,Fatal(1),1.0,4.0,0.0,0.0,30.0
Piper,PA-28-181,1.0,Fatal(2),2.0,1.0,1.0,0.0,27.0
Cessna,421A,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Pitts,SC 1,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Mooney,M20K,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152II,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,182B,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Tanke,GOLDWING,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Great Lakes,2T-1A-2,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Mustang,II,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,340A,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Robinson,R-22,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,TR-182,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,150D,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Wainscott,SCAMP B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bell,206L-1,1.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Cessna,305A,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA-32-R-300,1.0,Fatal(5),5.0,0.0,0.0,0.0,50.0
Cessna,172H,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,172N,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Aero Commander,520,2.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Piper,PA-18,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Piper,PA-23-250,2.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cessna,210,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
North American,SNJ-6,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Ken Brock,KB-2,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Saville Hummer,FALCON AA-1A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Quickie,Q2,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-32RT-300T,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,207,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Mooney,M-20K,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Grumman,G-164B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Grumman,G-164,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cessna,177B,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Beech,C45H,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,3.0,0.0,0.0,15.0
Cessna,180,1.0,Non-Fatal,0.0,1.0,1.0,1.0,7.0
Fairchild,C-82A,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-12,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Grumman American,AA-5B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bell,47G-5,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Navion,G,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150K,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Beech,H35,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Bellanca,17-30,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,76,2.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Bell,214ST,2.0,Incident,0.0,0.0,0.0,20.0,0.0
Cessna,177B,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Robinson,R-22,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,182A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA31-350,2.0,Incident,0.0,0.0,0.0,7.0,0.0
Piper,PA-12,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-180,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Piper,PA32RT-300,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,T210N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Lake,LA-4,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,170B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-25-180,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,B24R,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-28-181,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Benson,GYROCOPTER,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-32-301,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,35-C33,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Cessna,150F,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-22,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-36,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Balloon Works,FIREFLY 7,0.0,Non-Fatal,0.0,1.0,0.0,2.0,5.0
Piper,PA-32-300,1.0,Incident,0.0,0.0,0.0,1.0,0.0
Beech,C24R,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Piper,PA-28-140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Scorpion,133,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bell,47G3B1,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Rockwell International,STINSON 108,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,180,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Cougar,A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Beech,C-45G,2.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Beech,95-55,2.0,Fatal(5),5.0,0.0,0.0,0.0,50.0
Boeing,727-225A,3.0,Incident,0.0,0.0,0.0,112.0,0.0
Eagle,C-7,0.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Piper,PA-12,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Schweizer,SGS1-26,0.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,182,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,A36TC,1.0,Non-Fatal,0.0,0.0,1.0,2.0,2.0
Cessna,140A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Beech,A36,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,180K II,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
General Balloon,AX-6,0.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
"Thunder Balloons, Ltd.",AX9-140,0.0,Fatal(4),4.0,3.0,1.0,1.0,57.0
Grumman,AA-1C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,1.0,1.0,0.0,7.0
Grumman,AA-5B,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Waco,UPF-7,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,182,1.0,Non-Fatal,0.0,0.0,1.0,3.0,2.0
Beech,35,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Piper,PA-18,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Grumman American,AA-1B,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Fairchild,24,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Hughes,TH-55A,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Balloon Works,FIREFLY 7,0.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Beech,56TC,2.0,Non-Fatal,0.0,4.0,0.0,0.0,20.0
Cessna,206,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-31-310,2.0,Non-Fatal,0.0,0.0,5.0,0.0,10.0
Bell,47G3B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Benson,B8M,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,1.0,2.0,2.0
Piper,PA-28-140B,1.0,Non-Fatal,0.0,0.0,1.0,2.0,2.0
Piper,PA-38-112,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150M,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,T210L,1.0,Non-Fatal,0.0,3.0,0.0,0.0,15.0
Grumman,G-164B,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-23-250,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,T188C,1.0,Non-Fatal,0.0,1.0,0.0,0.0,5.0
Robinson,R22,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Cessna,210L,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Rand,KR2,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Raven,AX-7,0.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Piper,PA-44-180,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Helio,H-395,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Luscombe,8A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-20-A,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,TU206G,1.0,Non-Fatal,0.0,0.0,0.0,5.0,0.0
Piper,PA-28-161,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,182Q,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Grumman American,AA-5B,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,172P,1.0,Fatal(2),2.0,0.0,1.0,0.0,22.0
Beech,J35,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172G,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,206,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Beech,58,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Piper,PA-23-250,2.0,Non-Fatal,0.0,1.0,0.0,2.0,5.0
Cessna,172P,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172P,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,C23,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Beech,S35,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,177RG,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Boeing,A75,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,150,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Bellanca,7GCBC,1.0,Fatal(1),1.0,0.0,1.0,0.0,12.0
